1	7.02521
2	14.004
3	20.7267
4	27.1969
5	33.4181
6	39.3939
7	45.1279
8	50.6237
9	55.8847
10	60.9146
11	65.7169
12	70.2952
13	74.6531
14	78.7941
15	82.7218
16	86.4397
17	89.9515
18	93.2606
19	96.3707
20	99.2853
21	102.008
22	104.542
23	106.892
24	109.06
25	111.051
26	112.867
27	114.513
28	115.992
29	117.308
30	118.464
31	119.463
32	120.31
33	121.007
34	121.559
35	121.969
36	122.241
37	122.378
38	122.383
39	122.26
40	122.014
41	121.647
42	121.162
43	120.564
44	119.857
45	119.043
46	118.126
47	117.109
48	115.997
49	114.793
50	113.501
51	112.123
52	110.664
53	109.128
54	107.516
55	105.835
56	104.086
57	102.273
58	100.4
59	98.4712
60	96.4892
61	94.4579
62	92.3807
63	90.2614
64	88.1034
65	85.9103
66	83.6857
67	81.4332
68	79.1562
69	76.8585
70	74.5434
71	72.2147
72	69.8759
73	67.5305
74	65.182
75	62.8342
76	60.4905
77	58.1544
78	55.8297
79	53.5197
80	51.2282
81	48.9585
82	46.7145
83	44.4994
84	42.3171
85	40.1709
86	38.0645
87	36.0015
88	33.9853
89	32.0196
90	30.108
91	28.2539
92	26.461
93	24.7329
94	23.073
95	21.485
96	19.9724
97	18.5388
98	17.1877
99	15.9228
100	14.7475
101	13.6655
102	12.6803
103	11.7954
104	11.0145
105	10.3411
106	9.77876
107	9.33104
108	9.00153
109	8.79377
110	8.71134
111	8.75779
112	8.9367
113	9.25163
114	9.70614
115	10.3038
116	11.0482
117	11.9428
118	12.9913
119	14.1972
120	15.5641
121	17.0955
122	18.795
123	20.6661
124	22.7125
125	24.9377
126	27.3452
127	29.9387
128	32.7217
129	35.6977
130	38.8703
131	42.2431
132	45.8196
133	49.6035
134	53.5982
135	57.8074
136	62.2346
137	66.8833
138	71.7572
139	76.8598
140	82.1946
141	87.7653
142	93.5753
143	99.6283
144	105.928
145	112.477
146	110.477
147	103.928
148	97.6283
149	91.5753
150	85.7653
151	80.1946
152	76.8598
153	71.7572
154	66.8833
155	62.2346
156	57.8074
157	53.5982
158	49.6035
159	45.8196
160	42.2431
161	38.8703
162	35.6977
163	32.7217
164	29.9387
165	27.3452
166	24.9377
167	22.7125
168	20.6661
169	18.795
170	17.0955
171	15.5641
172	14.1972
173	12.9913
174	11.9428
175	11.0482
176	10.3038
